"year","state","road_user","Sum(cases)"
2020,"TAS","Pedal cyclist",133
2020,"TAS","Pedestrian",36
2020,"TAS","Pick-up truck or van occupant",7
2020,"VIC","Bus occupant",34
2020,"VIC","Car driver, passenger or unknown position",4661
2020,"VIC","Heavy transport driver, passenger or unknown position",103
2020,"VIC","Motorcyclist",1682
2020,"VIC","Other or unknown",144
2020,"VIC","Pedal cyclist",2645
2020,"VIC","Pedestrian",558
2020,"VIC","Pick-up truck or van occupant",57
2020,"WA","Bus occupant",20
2020,"WA","Car driver, passenger or unknown position",1498
2020,"WA","Heavy transport driver, passenger or unknown position",44
2020,"WA","Motorcyclist",949
2020,"WA","Other or unknown",74
2020,"WA","Pedal cyclist",834
2020,"WA","Pedestrian",183
2020,"WA","Pick-up truck or van occupant",34
2021,"ACT","Car driver, passenger or unknown position",234
2021,"ACT","Motorcyclist",144
2021,"ACT","Other or unknown",0
2021,"ACT","Pedal cyclist",333
2021,"ACT","Pedestrian",22
2021,"ACT","Pick-up truck or van occupant",0
2021,"NSW","Bus occupant",50
2021,"NSW","Car driver, passenger or unknown position",3669
2021,"NSW","Heavy transport driver, passenger or unknown position",103
2021,"NSW","Motorcyclist",2253
2021,"NSW","Other or unknown",164
2021,"NSW","Pedal cyclist",2042
2021,"NSW","Pedestrian",649
2021,"NSW","Pick-up truck or van occupant",73
2021,"NT","Bus occupant",5
2021,"NT","Car driver, passenger or unknown position",362
2021,"NT","Heavy transport driver, passenger or unknown position",0
2021,"NT","Motorcyclist",157
2021,"NT","Other or unknown",8
2021,"NT","Pedal cyclist",92
2021,"NT","Pedestrian",58
2021,"NT","Pick-up truck or van occupant",9
2021,"QLD","Bus occupant",38
2021,"QLD","Car driver, passenger or unknown position",5471
2021,"QLD","Heavy transport driver, passenger or unknown position",144
2021,"QLD","Motorcyclist",2598
2021,"QLD","Other or unknown",152
2021,"QLD","Pedal cyclist",1504
2021,"QLD","Pedestrian",448
2021,"QLD","Pick-up truck or van occupant",92
2021,"SA","Bus occupant",14
2021,"SA","Car driver, passenger or unknown position",1231
2021,"SA","Heavy transport driver, passenger or unknown position",26
2021,"SA","Motorcyclist",556
2021,"SA","Other or unknown",40
2021,"SA","Pedal cyclist",577
2021,"SA","Pedestrian",172
2021,"SA","Pick-up truck or van occupant",16
2021,"TAS","Bus occupant",0
2021,"TAS","Car driver, passenger or unknown position",399
2021,"TAS","Heavy transport driver, passenger or unknown position",0
2021,"TAS","Motorcyclist",198
2021,"TAS","Other or unknown",8
2021,"TAS","Pedal cyclist",118
2021,"TAS","Pedestrian",46
2021,"TAS","Pick-up truck or van occupant",13
2021,"VIC","Bus occupant",37
2021,"VIC","Car driver, passenger or unknown position",5402
2021,"VIC","Heavy transport driver, passenger or unknown position",136
2021,"VIC","Motorcyclist",1967
2021,"VIC","Other or unknown",135
2021,"VIC","Pedal cyclist",2695
2021,"VIC","Pedestrian",682
2021,"VIC","Pick-up truck or van occupant",76
2021,"WA","Bus occupant",22
